707	2022-05-30 00:00:00.000	2023-05-29 00:00:00.000	33.6442	2023-05-29 00:00:00.000
707	2023-05-30 00:00:00.000	2024-05-28 00:00:00.000	33.6442	2024-05-28 00:00:00.000
707	2024-05-29 00:00:00.000		34.9900	2024-05-08 00:00:00.000
708	2022-05-30 00:00:00.000	2023-05-29 00:00:00.000	33.6442	2023-05-29 00:00:00.000
708	2023-05-30 00:00:00.000	2024-05-28 00:00:00.000	33.6442	2024-05-28 00:00:00.000
708	2024-05-29 00:00:00.000		34.9900	2024-05-08 00:00:00.000
709	2022-05-30 00:00:00.000	2023-05-29 00:00:00.000	9.5000	2023-05-29 00:00:00.000
710	2022-05-30 00:00:00.000	2023-05-29 00:00:00.000	9.5000	2023-05-29 00:00:00.000
711	2022-05-30 00:00:00.000	2023-05-29 00:00:00.000	33.6442	2023-05-29 00:00:00.000
711	2023-05-30 00:00:00.000	2024-05-28 00:00:00.000	33.6442	2024-05-28 00:00:00.000
711	2024-05-29 00:00:00.000		34.9900	2024-05-08 00:00:00.000
712	2022-05-30 00:00:00.000	2023-05-29 00:00:00.000	8.6442	2023-05-29 00:00:00.000
712	2023-05-30 00:00:00.000	2024-05-28 00:00:00.000	8.6442	2024-05-28 00:00:00.000
712	2024-05-29 00:00:00.000		8.9900	2024-05-08 00:00:00.000
713	2022-05-30 00:00:00.000	2023-05-29 00:00:00.000	48.0673	2023-05-29 00:00:00.000
713	2023-05-30 00:00:00.000	2024-05-28 00:00:00.000	48.0673	2024-05-28 00:00:00.000
713	2024-05-29 00:00:00.000		49.9900	2024-05-08 00:00:00.000
714	2022-05-30 00:00:00.000	2023-05-29 00:00:00.000	48.0673	2023-05-29 00:00:00.000
714	2023-05-30 00:00:00.000	2024-05-28 00:00:00.000	48.0673	2024-05-28 00:00:00.000
714	2024-05-29 00:00:00.000		49.9900	2024-05-08 00:00:00.000
715	2022-05-30 00:00:00.000	2023-05-29 00:00:00.000	48.0673	2023-05-29 00:00:00.000
715	2023-05-30 00:00:00.000	2024-05-28 00:00:00.000	48.0673	2024-05-28 00:00:00.000
715	2024-05-29 00:00:00.000		49.9900	2024-05-08 00:00:00.000
716	2022-05-30 00:00:00.000	2023-05-29 00:00:00.000	48.0673	2023-05-29 00:00:00.000
716	2023-05-30 00:00:00.000	2024-05-28 00:00:00.000	48.0673	2024-05-28 00:00:00.000
716	2024-05-29 00:00:00.000		49.9900	2024-05-08 00:00:00.000
717	2022-05-30 00:00:00.000	2023-05-29 00:00:00.000	1263.4598	2023-05-29 00:00:00.000
717	2023-05-30 00:00:00.000	2024-05-28 00:00:00.000	1301.3636	2024-05-28 00:00:00.000
717	2024-05-29 00:00:00.000		1431.5000	2024-05-08 00:00:00.000
718	2022-05-30 00:00:00.000	2023-05-29 00:00:00.000	1263.4598	2023-05-29 00:00:00.000
718	2023-05-30 00:00:00.000	2024-05-28 00:00:00.000	1301.3636	2024-05-28 00:00:00.000
718	2024-05-29 00:00:00.000		1431.5000	2024-05-08 00:00:00.000
719	2022-05-30 00:00:00.000	2023-05-29 00:00:00.000	1263.4598	2023-05-29 00:00:00.000
719	2023-05-30 00:00:00.000	2024-05-28 00:00:00.000	1301.3636	2024-05-28 00:00:00.000
719	2024-05-29 00:00:00.000		1431.5000	2024-05-08 00:00:00.000
720	2022-05-30 00:00:00.000	2023-05-29 00:00:00.000	1263.4598	2023-05-29 00:00:00.000
720	2023-05-30 00:00:00.000	2024-05-28 00:00:00.000	1301.3636	2024-05-28 00:00:00.000
720	2024-05-29 00:00:00.000		1431.5000	2024-05-08 00:00:00.000
