AED	Emirati Dirham	2019-04-30 00:00:00.000
AFA	Afghani	2019-04-30 00:00:00.000
ALL	Lek	2019-04-30 00:00:00.000
AMD	Armenian Dram	2019-04-30 00:00:00.000
ANG	Netherlands Antillian Guilder	2019-04-30 00:00:00.000
AOA	Kwanza	2019-04-30 00:00:00.000
ARS	Argentine Peso	2019-04-30 00:00:00.000
ATS	Shilling	2019-04-30 00:00:00.000
AUD	Australian Dollar	2019-04-30 00:00:00.000
AWG	Aruban Guilder	2019-04-30 00:00:00.000
AZM	Azerbaijanian Manat	2019-04-30 00:00:00.000
BBD	Barbados Dollar	2019-04-30 00:00:00.000
BDT	Taka	2019-04-30 00:00:00.000
BEF	Belgian Franc	2019-04-30 00:00:00.000
BGN	Bulgarian Lev	2019-04-30 00:00:00.000
BHD	Bahraini Dinar	2019-04-30 00:00:00.000
BND	Brunei Dollar	2019-04-30 00:00:00.000
BOB	Boliviano	2019-04-30 00:00:00.000
BRL	Brazilian Real	2019-04-30 00:00:00.000
BSD	Bahamian Dollar	2019-04-30 00:00:00.000
BTN	Ngultrum	2019-04-30 00:00:00.000
CAD	Canadian Dollar	2019-04-30 00:00:00.000
CHF	Swiss Franc	2019-04-30 00:00:00.000
CLP	Chilean Peso	2019-04-30 00:00:00.000
CNY	Yuan Renminbi	2019-04-30 00:00:00.000
COP	Colombian Peso	2019-04-30 00:00:00.000
CRC	Costa Rican Colon	2019-04-30 00:00:00.000
CYP	Cyprus Pound	2019-04-30 00:00:00.000
CZK	Czech Koruna	2019-04-30 00:00:00.000
DEM	Deutsche Mark	2019-04-30 00:00:00.000
DKK	Danish Krone	2019-04-30 00:00:00.000
DOP	Dominican Peso	2019-04-30 00:00:00.000
DZD	Algerian Dinar	2019-04-30 00:00:00.000
EEK	Kroon	2019-04-30 00:00:00.000
EGP	Egyptian Pound	2019-04-30 00:00:00.000
ESP	Spanish Peseta	2019-04-30 00:00:00.000
EUR	EURO	2019-04-30 00:00:00.000
FIM	Markka	2019-04-30 00:00:00.000
FJD	Fiji Dollar	2019-04-30 00:00:00.000
FRF	French Franc	2019-04-30 00:00:00.000
GBP	United Kingdom Pound	2019-04-30 00:00:00.000
GHC	Cedi	2019-04-30 00:00:00.000
GRD	Drachma	2019-04-30 00:00:00.000
GTQ	Quetzal	2019-04-30 00:00:00.000
HKD	Hong Kong Dollar	2019-04-30 00:00:00.000
HRK	Croatian Kuna	2019-04-30 00:00:00.000
HUF	Forint	2019-04-30 00:00:00.000
IDR	Rupiah	2019-04-30 00:00:00.000
IEP	Irish Pound	2019-04-30 00:00:00.000
ILS	New Israeli Shekel	2019-04-30 00:00:00.000
INR	Indian Rupee	2019-04-30 00:00:00.000
ISK	Iceland Krona	2019-04-30 00:00:00.000
ITL	Italian Lira	2019-04-30 00:00:00.000
JMD	Jamaican Dollar	2019-04-30 00:00:00.000
JOD	Jordanian Dinar	2019-04-30 00:00:00.000
JPY	Yen	2019-04-30 00:00:00.000
KES	Kenyan Shilling	2019-04-30 00:00:00.000
KRW	Won	2019-04-30 00:00:00.000
KWD	Kuwaiti Dinar	2019-04-30 00:00:00.000
LBP	Lebanese Pound	2019-04-30 00:00:00.000
LKR	Sri Lankan Rupee	2019-04-30 00:00:00.000
LTL	Lithuanian Litas	2019-04-30 00:00:00.000
LVL	Latvian Lats	2019-04-30 00:00:00.000
MAD	Moroccan Dirham	2019-04-30 00:00:00.000
