1	722	8	8	0	2022-06-02 00:00:00.000	2022-06-12 00:00:00.000	2022-06-13 00:00:00.000		2022-06-12 00:00:00.000
2	725	15	15	0	2022-06-02 00:00:00.000	2022-06-12 00:00:00.000	2022-06-13 00:00:00.000		2022-06-12 00:00:00.000
3	726	9	9	0	2022-06-02 00:00:00.000	2022-06-12 00:00:00.000	2022-06-13 00:00:00.000		2022-06-12 00:00:00.000
4	729	16	16	0	2022-06-02 00:00:00.000	2022-06-12 00:00:00.000	2022-06-13 00:00:00.000		2022-06-12 00:00:00.000
5	730	14	14	0	2022-06-02 00:00:00.000	2022-06-12 00:00:00.000	2022-06-13 00:00:00.000		2022-06-12 00:00:00.000
6	732	16	16	0	2022-06-02 00:00:00.000	2022-06-12 00:00:00.000	2022-06-13 00:00:00.000		2022-06-12 00:00:00.000
7	733	4	4	0	2022-06-02 00:00:00.000	2022-06-12 00:00:00.000	2022-06-13 00:00:00.000		2022-06-12 00:00:00.000
8	738	19	19	0	2022-06-02 00:00:00.000	2022-06-12 00:00:00.000	2022-06-13 00:00:00.000		2022-06-12 00:00:00.000
9	741	2	2	0	2022-06-02 00:00:00.000	2022-06-12 00:00:00.000	2022-06-13 00:00:00.000		2022-06-12 00:00:00.000
10	742	3	3	0	2022-06-02 00:00:00.000	2022-06-12 00:00:00.000	2022-06-13 00:00:00.000		2022-06-12 00:00:00.000
11	743	1	1	0	2022-06-02 00:00:00.000	2022-06-12 00:00:00.000	2022-06-13 00:00:00.000		2022-06-12 00:00:00.000
12	745	1	1	0	2022-06-02 00:00:00.000	2022-06-12 00:00:00.000	2022-06-13 00:00:00.000		2022-06-12 00:00:00.000
13	747	4	4	0	2022-06-02 00:00:00.000	2022-06-18 00:00:00.000	2022-06-13 00:00:00.000		2022-06-18 00:00:00.000
14	748	2	2	0	2022-06-02 00:00:00.000	2022-06-18 00:00:00.000	2022-06-13 00:00:00.000		2022-06-18 00:00:00.000
15	749	4	4	0	2022-06-02 00:00:00.000	2022-06-18 00:00:00.000	2022-06-13 00:00:00.000		2022-06-18 00:00:00.000
16	753	14	14	0	2022-06-02 00:00:00.000	2022-06-18 00:00:00.000	2022-06-13 00:00:00.000		2022-06-18 00:00:00.000
17	754	27	27	0	2022-06-02 00:00:00.000	2022-06-18 00:00:00.000	2022-06-13 00:00:00.000		2022-06-18 00:00:00.000
18	755	11	11	0	2022-06-02 00:00:00.000	2022-06-18 00:00:00.000	2022-06-13 00:00:00.000		2022-06-18 00:00:00.000
19	756	14	14	0	2022-06-02 00:00:00.000	2022-06-18 00:00:00.000	2022-06-13 00:00:00.000		2022-06-18 00:00:00.000
20	758	46	46	0	2022-06-02 00:00:00.000	2022-06-18 00:00:00.000	2022-06-13 00:00:00.000		2022-06-18 00:00:00.000
21	760	43	43	0	2022-06-02 00:00:00.000	2022-06-18 00:00:00.000	2022-06-13 00:00:00.000		2022-06-18 00:00:00.000
22	761	19	19	0	2022-06-02 00:00:00.000	2022-06-18 00:00:00.000	2022-06-13 00:00:00.000		2022-06-18 00:00:00.000
23	762	44	44	0	2022-06-02 00:00:00.000	2022-06-18 00:00:00.000	2022-06-13 00:00:00.000		2022-06-18 00:00:00.000
24	763	20	20	0	2022-06-02 00:00:00.000	2022-06-18 00:00:00.000	2022-06-13 00:00:00.000		2022-06-18 00:00:00.000
25	764	14	14	0	2022-06-02 00:00:00.000	2022-06-18 00:00:00.000	2022-06-13 00:00:00.000		2022-06-18 00:00:00.000
26	765	30	30	0	2022-06-02 00:00:00.000	2022-06-18 00:00:00.000	2022-06-13 00:00:00.000		2022-06-18 00:00:00.000
27	766	11	11	0	2022-06-02 00:00:00.000	2022-06-18 00:00:00.000	2022-06-13 00:00:00.000		2022-06-18 00:00:00.000
28	767	1	1	0	2022-06-02 00:00:00.000	2022-06-18 00:00:00.000	2022-06-13 00:00:00.000		2022-06-18 00:00:00.000
29	768	13	13	0	2022-06-02 00:00:00.000	2022-06-18 00:00:00.000	2022-06-13 00:00:00.000		2022-06-18 00:00:00.000
30	770	29	29	0	2022-06-02 00:00:00.000	2022-06-18 00:00:00.000	2022-06-13 00:00:00.000		2022-06-18 00:00:00.000
31	771	10	10	0	2022-06-02 00:00:00.000	2022-06-18 00:00:00.000	2022-06-13 00:00:00.000		2022-06-18 00:00:00.000
32	772	5	5	0	2022-06-02 00:00:00.000	2022-06-18 00:00:00.000	2022-06-13 00:00:00.000		2022-06-18 00:00:00.000
33	773	17	17	0	2022-06-02 00:00:00.000	2022-06-18 00:00:00.000	2022-06-13 00:00:00.000		2022-06-18 00:00:00.000
34	774	7	7	0	2022-06-02 00:00:00.000	2022-06-18 00:00:00.000	2022-06-13 00:00:00.000		2022-06-18 00:00:00.000
