1	1	1	1	2022-04-15 00:00:00.000	P	4	50.2600	2022-04-15 00:00:00.000
2	359	2	1	2022-04-15 00:00:00.000	P	3	45.1200	2022-04-15 00:00:00.000
3	360	2	2	2022-04-15 00:00:00.000	P	3	45.5805	2022-04-15 00:00:00.000
4	530	3	1	2022-04-15 00:00:00.000	P	550	16.0860	2022-04-15 00:00:00.000
5	4	4	1	2022-04-15 00:00:00.000	P	3	57.0255	2022-04-15 00:00:00.000
6	512	5	1	2022-04-29 00:00:00.000	P	550	37.0860	2022-04-29 00:00:00.000
7	513	6	1	2022-04-29 00:00:00.000	P	550	26.5965	2022-04-29 00:00:00.000
8	317	7	1	2022-04-29 00:00:00.000	P	550	27.0585	2022-04-29 00:00:00.000
9	318	7	2	2022-04-29 00:00:00.000	P	550	33.5790	2022-04-29 00:00:00.000
10	319	7	3	2022-04-29 00:00:00.000	P	550	46.0635	2022-04-29 00:00:00.000
11	403	8	1	2022-04-29 00:00:00.000	P	3	47.4705	2022-04-29 00:00:00.000
12	404	8	2	2022-04-29 00:00:00.000	P	3	45.3705	2022-04-29 00:00:00.000
13	405	8	3	2022-04-29 00:00:00.000	P	3	49.6440	2022-04-29 00:00:00.000
14	406	8	4	2022-04-29 00:00:00.000	P	3	45.3705	2022-04-29 00:00:00.000
15	407	8	5	2022-04-29 00:00:00.000	P	3	43.2705	2022-04-29 00:00:00.000
16	709	43659	10	2022-05-30 00:00:00.000	S	6	6.1750	2022-05-30 00:00:00.000
17	711	43659	12	2022-05-30 00:00:00.000	S	4	20.1865	2022-05-30 00:00:00.000
18	712	43659	11	2022-05-30 00:00:00.000	S	2	5.6187	2022-05-30 00:00:00.000
19	714	43659	8	2022-05-30 00:00:00.000	S	3	31.2437	2022-05-30 00:00:00.000
20	716	43659	9	2022-05-30 00:00:00.000	S	1	31.2437	2022-05-30 00:00:00.000
21	771	43659	4	2022-05-30 00:00:00.000	S	1	2447.9928	2022-05-30 00:00:00.000
22	772	43659	5	2022-05-30 00:00:00.000	S	1	2447.9928	2022-05-30 00:00:00.000
23	773	43659	6	2022-05-30 00:00:00.000	S	2	2447.9928	2022-05-30 00:00:00.000
24	774	43659	7	2022-05-30 00:00:00.000	S	1	2447.9928	2022-05-30 00:00:00.000
25	776	43659	1	2022-05-30 00:00:00.000	S	1	2429.9928	2022-05-30 00:00:00.000
26	777	43659	2	2022-05-30 00:00:00.000	S	3	2429.9928	2022-05-30 00:00:00.000
27	778	43659	3	2022-05-30 00:00:00.000	S	1	2429.9928	2022-05-30 00:00:00.000
28	758	43660	2	2022-05-30 00:00:00.000	S	1	1049.7528	2022-05-30 00:00:00.000
29	762	43660	1	2022-05-30 00:00:00.000	S	1	503.3507	2022-05-30 00:00:00.000
30	708	43661	15	2022-05-30 00:00:00.000	S	5	20.1865	2022-05-30 00:00:00.000
31	711	43661	9	2022-05-30 00:00:00.000	S	2	20.1865	2022-05-30 00:00:00.000
32	712	43661	4	2022-05-30 00:00:00.000	S	4	5.6187	2022-05-30 00:00:00.000
33	715	43661	5	2022-05-30 00:00:00.000	S	4	31.2437	2022-05-30 00:00:00.000
